,text,url
10,Watermain Relining Program,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMzsFqhDAQxvGniccwmcQkHnJYWISWlh76BGMmqwE1Et2Vvn3pXrrXj-8PPw5oiWOTgnLGeQANpplCC8qpRM7piNCiQWKy0HbWJ_adwSYHhWhNZ1xnZAce_X8PoOU7PeiT8izzeivCwJCZ8zoWGcvSzGE6jm0X-iKwF9if5ylfDwL7tFCeP8qYV6H7Wy2L0Nch82VO9fi-D3useUhVTsci0A6Zv-r4xkJflfojIAq0x8r1uRkwGhF9U8NWy1Z2mmWklZiEAYrxXin-PGGPgL8BAAD__2jiUfo__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMSPMTHfh$
11,614-25-RFT,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMzsFqhDAQxvGniccwmcQkHnJYWISWlh76BGMmqwE1Et2Vvn3pXrrXj-8PPw5oiWOTgnLGeQANpplCC8qpRM7piNCiQWKy0HbWJ_adwSYHhWhNZ1xnZAce_X8PoOU7PeiT8izzeivCwJCZ8zoWGcvSzGE6jm0X-iKwF9if5ylfDwL7tFCeP8qYV6H7Wy2L0Nch82VO9fi-D3useUhVTsci0A6Zv-r4xkJflfojIAq0x8r1uRkwGhF9U8NWy1Z2mmWklZiEAYrxXin-PGGPgL8BAAD__2jiUfo__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMSPMTHfh$
12,Addendum 2 - Questions and Answers,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8Fq8zAQhJ9mfRTSSrHsgw6BYPh_WnroE6y0ciKwJSPbMX374vTQznH4Br5hhy1xaKJT1thOSi1N83Beja3HyL1iG3uljbe2UyaqS4iXcBmb5BRia3pjeyN62WH3u5dSi__0pHdKk0h5LGCkT8wp34sIZW4m99i2ZQV9BRwAh-M4xF8AcIgzpemt3FMGPYy1zKBvxBwz7_N1inX73P0aavKxisc2A7Y-8Ue9_2PQN6VOD0TAdstcX52RRiNiB-df_sHkGd1Ut9SylJUmESgTExhJIeyVwtfL9-nwOwAA____wllb__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMbZ37gJv$
13,In-Country Recruitment Services for Middle East,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL9mPIbJJDuaQw4Li9DS0kO_YJLoGlAj0V3p3xfaQ3t9vAcveWJJsRm8bm3bIRq0zeRFM4_RIRseHYsJwaZWpOULahaSJntNxNbZ1lnlsKPur0c06lWe8i55VnkdC1gMOaW83ouKZWlmPx3HtoO5AvVA_Xme6r8A1A-L5Pmt3PMKph9rWcDcQk7XeajH5yPsseYwVDUdCxCHnD7q_SWBuWmNaC5ogPhYU_1liEida6rfatnKLrOKskoSsCgxPqrEr5-vp6fvAAAA___JkFKE__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMf2I9Ge_$
14,RM25-26,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL9mPIbJJDuaQw4Li9DS0kO_YJLoGlAj0V3p3xfaQ3t9vAcveWJJsRm8bm3bIRq0zeRFM4_RIRseHYsJwaZWpOULahaSJntNxNbZ1lnlsKPur0c06lWe8i55VnkdC1gMOaW83ouKZWlmPx3HtoO5AvVA_Xme6r8A1A-L5Pmt3PMKph9rWcDcQk7XeajH5yPsseYwVDUdCxCHnD7q_SWBuWmNaC5ogPhYU_1liEida6rfatnKLrOKskoSsCgxPqrEr5-vp6fvAAAA___JkFKE__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMf2I9Ge_$
15,Delivery of Boréal Employment Navigation Model,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH_N5Cjj6Op68LCwBFpaeugvGDUfQhKDcTf03xf20l4f78FLngyn2A1eWm2viAp1N3t9idpiHIOyhqU1hOSUoeRcHAdL1GUviYx22jotHF7p-tcjKvHOT_7kvIi8jQU0hpxS3qYiYlm7xc-t7QeoG1AP1J_nKf4LQP2wcl4-ypQ3UP1YywrqHnK6LUNt349wxJrDUMXcViATcvqq01sCddcSFV6kAzJtS_XFJCKioa76vZa9HLyIyBsnBo0c46Ny_Hl9PT39BgAA__9TN1IB__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMVnKQ4SH$
16,CB25-06,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH_N5Cjj6Op68LCwBFpaeugvGDUfQhKDcTf03xf20l4f78FLngyn2A1eWm2viAp1N3t9idpiHIOyhqU1hOSUoeRcHAdL1GUviYx22jotHF7p-tcjKvHOT_7kvIi8jQU0hpxS3qYiYlm7xc-t7QeoG1AP1J_nKf4LQP2wcl4-ypQ3UP1YywrqHnK6LUNt349wxJrDUMXcViATcvqq01sCddcSFV6kAzJtS_XFJCKioa76vZa9HLyIyBsnBo0c46Ny_Hl9PT39BgAA__9TN1IB__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMVnKQ4SH$
17,Market Sounding for ESR Program Market Approach Strategy,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsNkMqvmkMPCIrS09NAvmGTiGlAj0V3p3xf20l4f78ETjy1LbJI3HXU9gAVqJu8McjStFUqhgyS9k9FSstakSGbsm-wNYkuOOkfaQY_9Xw9g9Ts_-ZPzrPM6FkUQskhe70XHsjSzn45j25W9KhwUDud56v-CwiEtnOePcs-rssNYy6LsLWS5zqke34-wx5pDqno6FoVtyPJV72-i7I0MdHQxF4XtsUp9MQOA4LCpfqtlKzvPOvLKwoqAY3xUjj-vr6fH3wAAAP___ZNSxA__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMd_x0I75$
18,RFI-2025-AFPC-156,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsNkMqvmkMPCIrS09NAvmGTiGlAj0V3p3xf20l4f78ETjy1LbJI3HXU9gAVqJu8McjStFUqhgyS9k9FSstakSGbsm-wNYkuOOkfaQY_9Xw9g9Ts_-ZPzrPM6FkUQskhe70XHsjSzn45j25W9KhwUDud56v-CwiEtnOePcs-rssNYy6LsLWS5zqke34-wx5pDqno6FoVtyPJV72-i7I0MdHQxF4XtsUp9MQOA4LCpfqtlKzvPOvLKwoqAY3xUjj-vr6fH3wAAAP___ZNSxA__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMd_x0I75$
19,"Request for Qualification & Quotation - Cost Assurance and Verification Services for Stations, Rail and Systems for Eglinton Crosstown West Extension (ECWE) Project",https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsNkEhM95LCwCC0tPfQLJpOoATUS3ZX-fWEv7fXxHrzo0VLkJnnljOsANJhm9lZxYgZFIwIR2eT6QIoVOmda51KTvUK0pjeuN7KHDru_HkDLd3rSJ-VF5m0swkDIMeZtKpLL2ix-Ps_9EPomcBA4XNcl_wsCh7RSXj7KlDehh7GWVeh7yPG2pHp-P8LBNYdU5XyuAm3I8atOb1Hou1HgTKtagfbcYn0xBYDQ9U31ey17OWiRTBtFEgaI-VGJf15fT4-_AQAA__8iclLp__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMafGnlgc$
20,RQQ-2024-CPCM-916,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsNkEhM95LCwCC0tPfQLJpOoATUS3ZX-fWEv7fXxHrzo0VLkJnnljOsANJhm9lZxYgZFIwIR2eT6QIoVOmda51KTvUK0pjeuN7KHDru_HkDLd3rSJ-VF5m0swkDIMeZtKpLL2ix-Ps_9EPomcBA4XNcl_wsCh7RSXj7KlDehh7GWVeh7yPG2pHp-P8LBNYdU5XyuAm3I8atOb1Hou1HgTKtagfbcYn0xBYDQ9U31ey17OWiRTBtFEgaI-VGJf15fT4-_AQAA__8iclLp__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMafGnlgc$
21,Study and Evaluation of Mental Health Anti-Stigma Strategy,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsM4MyabQw4Li9DS0kO_YEyyGlAj0V3p3xf20l4f78GLHo3E0CTfWrYXAAJuJh_Jua67GwMOkm2t2IQSjGMnlKhzTfYtomHH1rF2cMHLXw9A-l2e8il51nm9F8Uw5BjzOhYdytLMfjqObVd0Vdgr7M_z1P8FhX1aJM8fZcyrov5ey6LoNuR4nVM9vh_DHmoeUtXTsSg0Q45fdXyLim7ctmA7BIXmWGN9MbTcMQE11W-1bGWXWQdZJYpikBAeVcLPa-zp8TcAAP__slVSVA__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMQl2oc6e$
22,Tender 20682,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsM4MyabQw4Li9DS0kO_YEyyGlAj0V3p3xf20l4f78GLHo3E0CTfWrYXAAJuJh_Jua67GwMOkm2t2IQSjGMnlKhzTfYtomHH1rF2cMHLXw9A-l2e8il51nm9F8Uw5BjzOhYdytLMfjqObVd0Vdgr7M_z1P8FhX1aJM8fZcyrov5ey6LoNuR4nVM9vh_DHmoeUtXTsSg0Q45fdXyLim7ctmA7BIXmWGN9MbTcMQE11W-1bGWXWQdZJYpikBAeVcLPa-zp8TcAAP__slVSVA__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMQl2oc6e$
23,Consulting Services - Preparation of Report on Management of Chemicals in Wastes,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsNkMiZ6yGFhEVpaeugXJDO6G1Aj0V3p3xf20l4f78GTgC4KN2MwnnwHYIGae0BhQDKT6TtnmdJExnci3gG3DJSaHAyio558T7qHDru_HsDq9_iMnzHPOq9TUQQpi-T1VjSXpZnD_Ti2XdmLwkHhcJ6n_i8oHMYl5vmj3PKq7DDVsih7TVku81iP70faueY0Vn0_FoUuZfmqtzdR9krGgG8RFLpjlfpi6KklC21Tw1bLVvY4a45rlKgIIvOjRv55jT0D_gYAAP__60pSlQ__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMbyM7rLy$
24,Tender 20795,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqhDAQQL8mHsNkMiZ6yGFhEVpaeugXJDO6G1Aj0V3p3xf20l4f78GTgC4KN2MwnnwHYIGae0BhQDKT6TtnmdJExnci3gG3DJSaHAyio558T7qHDru_HsDq9_iMnzHPOq9TUQQpi-T1VjSXpZnD_Ti2XdmLwkHhcJ6n_i8oHMYl5vmj3PKq7DDVsih7TVku81iP70faueY0Vn0_FoUuZfmqtzdR9krGgG8RFLpjlfpi6KklC21Tw1bLVvY4a45rlKgIIvOjRv55jT0D_gYAAP__60pSlQ__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMbyM7rLy$
25,Benefits Advisory and Actuarial Services,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rhDAQQH_NeAyTyRj1kMPCIrS09NBfMEn8CKiR6K703xd6aHt9vAcvOrISQzU43XDTIhrkanZoOmvrmmohCpaJSQ_Co2HSFNBTlZwmstxx07HqsKX2r0c06lWe8i5pUWkbMzD6FGPapqxCXqvFzee5H2BuQD1Qf12X-i8A9cMqaXnLU9rA9GPJK5i7T_G2DOX8fPgjlOSHouZzBbI-xY8yvUQwd60RjWUGsucWyy_THeuquL3kPR-yqCCbRAFGCeFRJHz9jD0dfQcAAP__JKRRtA__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMZlPQxb6$
26,BCRFP_250407,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rhDAQQH_NeAyTyRj1kMPCIrS09NBfMEn8CKiR6K703xd6aHt9vAcvOrISQzU43XDTIhrkanZoOmvrmmohCpaJSQ_Co2HSFNBTlZwmstxx07HqsKX2r0c06lWe8i5pUWkbMzD6FGPapqxCXqvFzee5H2BuQD1Qf12X-i8A9cMqaXnLU9rA9GPJK5i7T_G2DOX8fPgjlOSHouZzBbI-xY8yvUQwd60RjWUGsucWyy_THeuquL3kPR-yqCCbRAFGCeFRJHz9jD0dfQcAAP__JKRRtA__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMZlPQxb6$
27,Public Safety Risk Assessment and Public Safety Plan – Hanover Dam,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rhDAQQH9NPIZxMiZ6yGFhEVpaeugvmGT8CKiR6K703xf20l4f78ETj5YlVoOvHbkWwABVszdjCC6YunHcCdvGEAvYCAZRgnGxSr5GtNSR60h30GL71wMY_c5P_uS06LSNWRGEJJK2KeuY12rx83nuhzI3hb3C_rou_V9Q2A8rp-UjT2lTph9LXpW5hyS3ZSjn9yMcsaQwFD2fq0IbknyV6U2Uudc1AIFDhfbcpLwYAXXQYFsVv5e854MXHXljYUXAMT4Kx5_X2NPjbwAAAP__PKtS5w__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMePtJ696$
28,RFP_WR2025-05,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rhDAQQH9NPIZxMiZ6yGFhEVpaeugvmGT8CKiR6K703xf20l4f78ETj5YlVoOvHbkWwABVszdjCC6YunHcCdvGEAvYCAZRgnGxSr5GtNSR60h30GL71wMY_c5P_uS06LSNWRGEJJK2KeuY12rx83nuhzI3hb3C_rou_V9Q2A8rp-UjT2lTph9LXpW5hyS3ZSjn9yMcsaQwFD2fq0IbknyV6U2Uudc1AIFDhfbcpLwYAXXQYFsVv5e854MXHXljYUXAMT4Kx5_X2NPjbwAAAP__PKtS5w__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMePtJ696$
29,RFP 25-056 - INSURANCE BROKERAGE AND RISK ADVISORY SERVICES CRYSTAL POOL REPLACEMENT PROJECT,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjrtqxDAQAL9GLsVqtchyoeLgMCQkpMgXrLR-CGzLyL4z-fvANUk7zMBIQMeSmiGYlloPYIGaOQhEZ10amW2KY9tG55kQbTcQRxHb5GAQHXXUdqQ78Oj_egCr3_nJn5wXnbexKIKYRfI2FZ3K2ixhPs_9UPamsFfYX9el_wsK-2HlvHyUKW_K9mMtq7L3mOW2DPX8fsQj1RyHqudzVehilq86vYmydzJA3oNT6M5N6osZA2C8t00Ney17OXjRiTcWVgSc0qNy-nmNPQP-BgAA___JqlOG__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMct8GTdR$
30,BC214768,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjrtqxDAQAL9GLsVqtchyoeLgMCQkpMgXrLR-CGzLyL4z-fvANUk7zMBIQMeSmiGYlloPYIGaOQhEZ10amW2KY9tG55kQbTcQRxHb5GAQHXXUdqQ78Oj_egCr3_nJn5wXnbexKIKYRfI2FZ3K2ixhPs_9UPamsFfYX9el_wsK-2HlvHyUKW_K9mMtq7L3mOW2DPX8fsQj1RyHqudzVehilq86vYmydzJA3oNT6M5N6osZA2C8t00Ney17OXjRiTcWVgSc0qNy-nmNPQP-BgAA___JqlOG__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMct8GTdR$
31,Consultant Services - Mechanical Engineers,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjkFqwzAQAF8jH8VqtbLkgw6BYGhp6aEvWGntRGBbQXFi-vtCLu11mIGRiD1L7qZoPPkAYIG6awwGJ2fFDuJSImQ35Fmytx5mnAO4rkSD2NNAfiA9QMDw1wNY_c5P_uSy6LLNVRGkIlK2S9W5rt0Sr_t-uyt7UjgqHI_j0P8FheO0clk-6qVsyo5zq6uy51TktExt_36ke24lTU1f91Vhn4p8tcubKHsmAxS8cwr7fZP2YsaAJQq2a_HW6q3eedGZNxZWBJzzo3H-eY09I_4GAAD__yY3Utk__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMf8MQxMW$
32,BC214767,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjkFqwzAQAF8jH8VqtbLkgw6BYGhp6aEvWGntRGBbQXFi-vtCLu11mIGRiD1L7qZoPPkAYIG6awwGJ2fFDuJSImQ35Fmytx5mnAO4rkSD2NNAfiA9QMDw1wNY_c5P_uSy6LLNVRGkIlK2S9W5rt0Sr_t-uyt7UjgqHI_j0P8FheO0clk-6qVsyo5zq6uy51TktExt_36ke24lTU1f91Vhn4p8tcubKHsmAxS8cwr7fZP2YsaAJQq2a_HW6q3eedGZNxZWBJzzo3H-eY09I_4GAAD__yY3Utk__;!!CKcPr9h30w!dXFVcQa7e9VDRBqvzcZGKEeZGw1Tm7C7uqToIg0AdHRBqHR22RfWRxsLenbSpSbza0fn-MgYdO8O1zNxKM_qMf8MQxMW$
