,text,link
27,Procurement Options Analysis Services,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524669696?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524669696&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuT4TybR$
28,Procurement Options Analysis Services,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524669696?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524669696&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuT4TybR$
29,Procurement Options Analysis Services,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524669696?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524669696&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuT4TybR$
30,Pre-Design Study for Northside Water System,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524492543?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524492543&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqZKkbQY$
31,Pre-Design Study for Northside Water System,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524492543?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524492543&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqZKkbQY$
32,Pre-Design Study for Northside Water System,https://urldefense.com/v3/__https://www.merx.com/private/supplier/interception/view-notice/443524492543?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=abstract_443524492543&language=EN__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KqZKkbQY$
33,click here,https://urldefense.com/v3/__https://www.merx.com/private/solicitations/saved-searches?utm_medium=email&utm_source=system_2025-05-23_PM&utm_campaign=savedsearch_notifications&pid=17220162&utm_content=update_saved_search__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KuQLLIGE$
34,merx@merx.com,mailto:merx@merx.com
35,https://www.merx.com,https://urldefense.com/v3/__https://www.merx.com__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KkdXJoEY$
36,"1111, Saint-Charles Street WestEast Tower, Suite 352Longueuil, Quebec, J4K 5G4Canada","https://urldefense.com/v3/__https://www.google.ca/maps/place/50*Frank*Nighbor*Pl,*Kanata,*ON*K2V*1B9/@45.2991753,-75.9186075,17z/data:*20*20*20*20*20*20*20*20!4m5!3m4!1s0x4cd2007e5fda18a1:0xc36710b3436d106d!8m2!3d45.2991753!4d-75.9164134footer-google_link__;KysrKysrKyUlJSUlJSUl!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KiCGEloj$"
37,update your account,https://urldefense.com/v3/__https://www.merx.com/private/my-profile__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KmX5-eD5$
38,modify your subscription,https://urldefense.com/v3/__https://www.merx.com/public/terms-conditions__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kuc3scf5$
39,,https://urldefense.com/v3/__https://www.sovra.com__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KgB_Slsr$
40,https://www.merx.com,https://urldefense.com/v3/__https://www.merx.com__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KkdXJoEY$
41,"1111, Saint-Charles Street WestEast Tower, Suite 352Longueuil, Quebec, J4K 5G4Canada","https://urldefense.com/v3/__https://www.google.ca/maps/place/50*Frank*Nighbor*Pl,*Kanata,*ON*K2V*1B9/@45.2991753,-75.9186075,17z/data:*20*20*20*20*20*20*20*20!4m5!3m4!1s0x4cd2007e5fda18a1:0xc36710b3436d106d!8m2!3d45.2991753!4d-75.9164134footer-google_link__;KysrKysrKyUlJSUlJSUl!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KiCGEloj$"
42,update your account,https://urldefense.com/v3/__https://www.merx.com/private/my-profile__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KmX5-eD5$
43,modify your subscription,https://urldefense.com/v3/__https://www.merx.com/public/terms-conditions__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4Kuc3scf5$
44,,https://urldefense.com/v3/__https://www.sovra.com__;!!CKcPr9h30w!a-DR9zoKXxLMH9tDj9nOpkYidrMwAlc5-jNijR9nZgnhxeC9lDMVtJTLFfSkcFNbeY7yfUW4KgB_Slsr$
45,proposal.canada@accuracy.com,mailto:proposal.canada@accuracy.com
46,proposal.canada@accuracy.com,mailto:proposal.canada@accuracy.com
47,HOME,https://urldefense.com/v3/__https://u2200291.ct.sendgrid.net/ls/click?upn=u001.7NUpb4dreem-2B48bFhZSu29QwNeVrEWkGQfoEw3PcmgZBPpnJdX-2FvpdgP5LzgV0DUgdxvqaDwMTfXu8Fjs3meQJ1K6rjZJGlS4iNzvvTO61knCe9jpQurn0breNOI0cFOTpUWHRFCVWceoPsb8XJsjYPj4CRnb0F7T-2F81ssjYRJcrXRzW8mxEaC6nP-2F9VBAQV1THI_6TYg-2FY-2BgGabRK8R-2BzONYbXP475l4SE9-2BTisbrtc4Tw94SzfciyIJ7W07gew7MEixV5h49KsPaTrGjFH5JITAbHw7XxT8FspWgblbFlA45ZcC1RhWI7TJ3zV01S5o7tnK6GcJ4yv4BKI6vfq9FXpsKtKP1FAaVQrsqoOlBUoFIdEoeCSZf1eene6gVrRKstVdceyEbVX5esEI-2F2wLlt-2BeZFtUhQNX7sAl86E3lT74G1M-2Bv5948YKa93ee0mLMVkmny8zNanBHzwOvrwFYTIeG2VfvJUGNZs1QLAYsb9CyFK9C7qwx8zDtFVwDptP4kky2pgm4anMLbIzgJxru8zvD8jjiVi8ytJZnoO-2BgTIx5xi4-3D__;!!CKcPr9h30w!ZX3GIhogpus5ejRhIuWA4rdtSoMYsjOxe5CIG2XBfatar4gvqWcqSxdyN9LMZGFCNGH0lYkqq6zATVcSs1KGZ_ma4gGS$
48,P2600003 - Technical Committee support/expertise including disposition of public review comments - amendment - 1,https://urldefense.com/v3/__https://u2200291.ct.sendgrid.net/ls/click?upn=u001.7NUpb4dreem-2B48bFhZSu28YBd-2BF3ionLXoESVZnIlQjVUwihILLgB5kZRGd8KAE-2Fh2efEV0rnhDOoa8R-2FAPrq5nMkOF3f-2BzmQC3bSdP4MItwWPgLsCcMgJ-2FxWr-2BMZW4fBPGJUuFjeI2qoJvAe5gHyZnE8c8U2IQp43i-2BNhZpKlQ4iNTf4KlEOXirlW5iIrDA4b1gjARFmT3072QUXCPGHoRhQiHObDD-2B3bkZR8Lcrt-2BW8ppBWSDsKUka0OhOpnoAexgLCVon94-2FpJ9CXdebdP1PLQfmL1vfl-2BVvtMKImrlo2Z5a92qUsGy0MTFy9WOQAFPD__6TYg-2FY-2BgGabRK8R-2BzONYbXP475l4SE9-2BTisbrtc4Tw94SzfciyIJ7W07gew7MEixV5h49KsPaTrGjFH5JITAbHw7XxT8FspWgblbFlA45ZcC1RhWI7TJ3zV01S5o7tnK6GcJ4yv4BKI6vfq9FXpsKnOfIyC3yM5RzfwRgn2jiX0hGBh3-2Bmrkyyar0JhUtsnbyqb8HLuKo72UErAwnSB3jNU4xFMcYjckXCpYycczde7c7nf8jNPiq9q7AwTHbB-2FDNdD5KNXKkOuai5znUBfYjGJHEUR7AuJwNc19WgBb3Pg2O8-2FtdEkaTFOztXNHSqiFSXnLcf7vY0-2F6gKBgcVg6DJ4meLnUgGmb25qDv0c2k7M-3D__;!!CKcPr9h30w!ZX3GIhogpus5ejRhIuWA4rdtSoMYsjOxe5CIG2XBfatar4gvqWcqSxdyN9LMZGFCNGH0lYkqq6zATVcSs1KGZ-QjHfqD$
49,merx@merx.com,mailto:merx@merx.com
50,"1111, Saint-Charles Street WestEast Tower, Suite 352Longueuil, Quebec, J4K 5G4Canada",https://urldefense.com/v3/__https://u2200291.ct.sendgrid.net/ls/click?upn=u001.7NUpb4dreem-2B48bFhZSu29wolLzKySCKD3dg5I-2B3742t-2BNewtOMnZZKR7Bp6tH35MO5mtNaBH2cBBbqGKCUrzeURjhy9vzXh6Sbe8A3tzrypiDtAsQCqAj-2BlgiVhCWcnatnL4tBQIAJLZTuOnPnT5CRKIDXkd9mS7siQG6G0hk3MqlwutASUMmtlZheSfS5GbFJdEJb37psq-2B7r9YgdbdMo5qw-2FcfgUj8Hwe-2FLzj-2FcLtw4OG2mAL1NUCciBrlG5b-2F69TrRLayWcSM4RsMxlGgeoAEeUc1JvqhPvRPcDnYW1R-2F8lVPmYcir0fN54MV8J2I-7C_6TYg-2FY-2BgGabRK8R-2BzONYbXP475l4SE9-2BTisbrtc4Tw94SzfciyIJ7W07gew7MEixV5h49KsPaTrGjFH5JITAbHw7XxT8FspWgblbFlA45ZcC1RhWI7TJ3zV01S5o7tnK6GcJ4yv4BKI6vfq9FXpsKjnVWF8efYnHYX8JF-2BtlnJQoiFxztfUKun7sLEoI4m0XI9rThnkVEHlv7j7w2Yg78Mt2sLW8zS0GGZH9Kpr8cnRwC0sJOO5rJsEY87wLXu37tX0noHmCO9xbPOo2T1KZmSKIGLAtwt908aCTu1Wzp9Iui4Io3pSadGuclPTHFp5HUjRasdyDLP-2B5c4fje-2F-2B5ba3AnXQJmiit-2BuhZJ3r15yY-3D__;!!CKcPr9h30w!ZX3GIhogpus5ejRhIuWA4rdtSoMYsjOxe5CIG2XBfatar4gvqWcqSxdyN9LMZGFCNGH0lYkqq6zATVcSs1KGZ8feN78A$
51,update your account,https://urldefense.com/v3/__https://u2200291.ct.sendgrid.net/ls/click?upn=u001.7NUpb4dreem-2B48bFhZSu28YBd-2BF3ionLXoESVZnIlQjIX8OjCjEC-2F6me27CUw9AeCGRtRwgtY0CoMg9ZtjW9FqlUQFlYGYCa0TNtF-2FaboB-2F9I9Bg0ynjDgeqLbt4c1yE1xwg-2FrzVYVeV-2F0oCLKJjG-2Fl2MeQkmSJvC-2B3GCI5uWyBhahO6clxY1JGrSrs8gqwM3z7dbPbHm6SA3GHCuaD7jRJaPl4TEkGaFDCx-2Fosl8I1lgmTBx2C5YZ-2BjV6-2FapndkLq0iO5aZHtWeEttBArWpWg-3D-3DNEoS_6TYg-2FY-2BgGabRK8R-2BzONYbXP475l4SE9-2BTisbrtc4Tw94SzfciyIJ7W07gew7MEixV5h49KsPaTrGjFH5JITAbHw7XxT8FspWgblbFlA45ZcC1RhWI7TJ3zV01S5o7tnK6GcJ4yv4BKI6vfq9FXpsKgSYxzaEb7A697VXDXOZttRNuVFBx9PASnDCwutaMDdfxmCLGHoAluNm6cvM4yOMORRbC5xOmaNj6mYgTf-2BBRsmABFc7hG0ZHtk6CnYB4cw0bUgDY0Ne7lZpFkp0GxYjrMHzVy5GjJHl2TZBVtkta0kFo630UIJ3fvRYEgCIfQzEF8hbnMhS89DYDUdTZh8m2SwkT2U6xUpV7cWbz7vSRVk-3D__;!!CKcPr9h30w!ZX3GIhogpus5ejRhIuWA4rdtSoMYsjOxe5CIG2XBfatar4gvqWcqSxdyN9LMZGFCNGH0lYkqq6zATVcSs1KGZ7V1y90F$
52,modify your subscription,https://urldefense.com/v3/__https://u2200291.ct.sendgrid.net/ls/click?upn=u001.7NUpb4dreem-2B48bFhZSu28soBkLZBCU4HRHjSgcHwUwKwWEyh0KOmJ76B3aGFTG-2FA4yXa2tjwTs5yHDiNe9swTykjyG6IQa1YYY3SGX-2FLCXf2S8rYOtq-2BG5s35dJAcwRc1Bt5UvJYFrs15dqdhaysOiiOP57r7h-2FuvVZ5bKYMFR7-2FTKpA3cO8utvkDhlAZBA6pG8WCJ7TOllS0yOrbDyroXMHEoaUwUix6cadl34sAU-3D7H7W_6TYg-2FY-2BgGabRK8R-2BzONYbXP475l4SE9-2BTisbrtc4Tw94SzfciyIJ7W07gew7MEixV5h49KsPaTrGjFH5JITAbHw7XxT8FspWgblbFlA45ZcC1RhWI7TJ3zV01S5o7tnK6GcJ4yv4BKI6vfq9FXpsKsasHG5V-2BMpajagIXF3-2B-2F2hEvIRm2z6uUL2wW959OCCGBgCc6kjvCyWak7FlxNf5KBD5aAnW47RIXKNGzvkuFJh02-2FkeD9ZvbcCsgfFaJztPPYJwHMGo7b26YXUN8FLLsKfX4d3LFBv2-2FqsOuddoJ4jh3CPc0ryXLgae9Y2bw3Voy1-2BE4x-2By-2BLt8kt9rix7gMEJ4eNRnki1UBDJe6WOa0Mg-3D__;!!CKcPr9h30w!ZX3GIhogpus5ejRhIuWA4rdtSoMYsjOxe5CIG2XBfatar4gvqWcqSxdyN9LMZGFCNGH0lYkqq6zATVcSs1KGZ0-CMtPK$
53,Terms and Conditions,https://urldefense.com/v3/__https://u2200291.ct.sendgrid.net/ls/click?upn=u001.7NUpb4dreem-2B48bFhZSu27ajdIGV3X3cnAeStipkmiB-2BxYl0xBgE0mFrWF2fuEaXvgn-2By2Jzzhedz-2BViC-2FazPqofgN6dihIZ7s7pytVJBo85feQ-2FmLuaiesSKZAiau2CnauuiUailpmlbTcvF2PVDSQtnQp1na5XwcX206eI7M-2BGSEFfXrBqaeCicVL8-2B-2FVlAQ5KJaOInIGrcViENDSZWSFjoCePyEKxsNIG9sZKCUXSC1Cn37G8j2CrBuiDQak-2Fm1NLtzCa5qnKoYQLoEI11w-3D-3DFoWP_6TYg-2FY-2BgGabRK8R-2BzONYbXP475l4SE9-2BTisbrtc4Tw94SzfciyIJ7W07gew7MEixV5h49KsPaTrGjFH5JITAbHw7XxT8FspWgblbFlA45ZcC1RhWI7TJ3zV01S5o7tnK6GcJ4yv4BKI6vfq9FXpsKoDjIOYokBbRwtl-2FYWAV95Q5A-2FjyXxD4JBuM-2BJ7WacFh6lBEFtKY7fr9oc8TDZdddzyMIwCCA066ObgUQ49gkbd5V3piPaLLmrfXgRANKMb3vucFW3r3WN3syqQnHRoBbSsrteaxPFIecX2yjiMBDJ4VSYlZiqeKJRX9BYT-2FCYwOrrJQeIGMMGbwl7VWaC6AFUvl4veoSnS0knv1HqmNrDk-3D__;!!CKcPr9h30w!ZX3GIhogpus5ejRhIuWA4rdtSoMYsjOxe5CIG2XBfatar4gvqWcqSxdyN9LMZGFCNGH0lYkqq6zATVcSs1KGZ-5KXtm4$
54,Privacy Policy,https://urldefense.com/v3/__https://u2200291.ct.sendgrid.net/ls/click?upn=u001.7NUpb4dreem-2B48bFhZSu27ajdIGV3X3cnAeStipkmiB-2BxYl0xBgE0mFrWF2fuEaX8uRz7NNM4QmKMLt-2FgC50o-2FzBmxiW0kZ8QmOR39XFKs1h0RLwsMQmC-2FbA3TC-2FrFjEq3fJ1YmCP7oN7gZWz8mCuxdQzPwEsS-2BFq0W07Ut2Ast5cA1ORuWnHN91Waa6Chsjo8ywk-2B3emrQYczol-2BNF3teB9XYUx3eIkTV4TgEhShLat7UylG5-2BPALjYbNRO16okAZXRLTHK83nLa0-2FLgpc-2B3g-3D-3DB58k_6TYg-2FY-2BgGabRK8R-2BzONYbXP475l4SE9-2BTisbrtc4Tw94SzfciyIJ7W07gew7MEixV5h49KsPaTrGjFH5JITAbHw7XxT8FspWgblbFlA45ZcC1RhWI7TJ3zV01S5o7tnK6GcJ4yv4BKI6vfq9FXpsKtySSLX6UoM-2FlZCwupNXorP9CWace49QDE-2BbNyIXSLh3tsoNPFCRKiDwCtHfnWVSEQUat18Rbz7K8vUhYR7Yu-2BcLN2nuE-2BYTpRpkZaa8F6sTshajGeO2TFy9cqjSB0pRJTEmf1D-2BLrrSMbMb0VKKNgUCfqBSmvJz8eL8xU2FXsG9SrHj27ppbryJzoYvOVW27ec9Rdw3TGOZphePxaWUrkQ-3D__;!!CKcPr9h30w!ZX3GIhogpus5ejRhIuWA4rdtSoMYsjOxe5CIG2XBfatar4gvqWcqSxdyN9LMZGFCNGH0lYkqq6zATVcSs1KGZ_LSp125$
